date,first_name,last_name,company,email,newsletter
25/10/2016,David,Beckham,Chelsea,dbeckham@chelsea.com,
25/10/2016,Lincoln,Abraham,White House,labraham@whitehouse.com,
25/10/2016,Miranda,Hart,ITV,mhart@itv.com,
25/10/2016,Alex,Blue,XXXXXX,fjfjf@cm.com,
25/10/2016,XXXX,YYYYY,ZZZZZ,yyyxxx@com.ddd,
25/10/2016,AAAAAA,BBBBBBB,CCCCCC,aaabbbb@cccc.com,
25/10/2016,AAAAAA,BBBBBBB,CCCCCC,aaabbbb@cccc.com,
27/10/2016,Kate,Middleton,Buckingham Palace,kmiddelton@bpalace.com,
29/10/2016,XXXXXX,XXXXXX,XXXXXX,XXXXXXX@gmai.com,
29/10/2016,XXXXXX,XXXXXX,XXXXXX,XXXXXXX@gmai.com,
29/10/2016,XXXXXX,XXXXXX,XXXXXX,XXXXXXX@gmai.com,
29/10/2016,AAAA,AAAA,AAAAA,sdsds@ccm.com,
29/10/2016,Izabela,Jelonek,jffjfj,ijelonek@live.co.uk,
29/10/2016,ddsdsds,dsdsdsd,dsdsdsd,ddsds@dsd.cpm,
29/10/2016,ddsdsds,dsdsdsd,dsdsdsd,ddsds@dsd.cpm,
29/10/2016,Izabela,Jelonek,jffjfj,ijelonek@live.co.uk,
29/10/2016,Izabela,Jelonek,jffjfj,ijelonek@live.co.uk,
29/10/2016,Izabela,JE,CFG,ijelonek@live.co.uk,
29/10/2016,SAs,saSA,DSADSA,DASDSAD@DD.COM,
29/10/2016,Izabela,JE,CFG,ijelonek@live.co.uk,
29/10/2016,Izabela,JE,CFG,ijelonek@live.co.uk,
30/10/2016,Izabela,Hart,qqq,ijelonek@live.co.uk,
